taille;tempsMachine;TempsUser;TempSys
558;557;0;0
559;477;0;0
560;411;0;0
561;460;0;0
562;843;0;0
563;425;0;0
564;284;0;0
565;391;0;0
566;485;0;0
567;481;0;0
568;271;0;0
569;579;0;0
570;278;0;0
571;270;0;0
572;504;0;0
573;283;0;0
574;581;0;0
575;334;0;0
576;435;0;0
577;736;0;0
578;413;0;0
579;426;0;0
580;458;0;0
581;420;0;0
582;376;0;0
583;530;0;0
584;454;0;0
585;438;0;0
586;465;0;0
587;508;0;0
588;292;0;0
589;455;0;0
590;472;0;0
591;285;0;0
592;306;0;0
593;246;0;0
594;781;0;0
595;488;0;0
596;461;0;0
597;489;0;0
598;770;0;0
599;471;0;0
600;442;0;0
601;296;0;0
602;380;0;0
603;516;0;0
604;560;0;0
605;620;0;0
606;550;0;0
607;686;0;0
608;415;0;0
609;510;0;0
610;810;0;0
611;421;0;0
612;733;0;0
613;468;0;0
614;483;0;0
615;513;0;0
616;338;0;0
617;673;0;0
618;519;0;0
619;471;0;0
620;768;0;0
621;617;0;0
622;278;0;0
623;670;0;0
624;474;0;0
625;687;0;0
626;265;0;0
627;573;0;0
628;438;0;0
629;532;0;0
630;310;0;0
631;508;0;0
632;577;0;0
633;541;0;0
634;731;0;0
635;529;0;0
636;499;0;0
637;520;0;0
638;601;0;0
639;523;0;0
640;558;0;0
641;427;0;0
642;568;0;0
643;257;0;0
644;408;0;0
645;440;0;0
646;563;0;0
647;545;0;0
648;662;0;0
649;665;0;0
650;387;0;0
651;753;0;0
652;706;0;0
653;428;0;0
654;408;0;0
655;534;0;0
656;585;0;0
657;264;0;0
658;475;0;0
659;349;0;0
660;854;0;0
661;461;0;0
662;637;0;0
663;361;0;0
664;385;0;0
665;803;0;0
666;372;0;0
667;675;0;0
668;863;0;0
669;276;0;0
670;775;0;0
671;599;0;0
672;617;0;0
673;670;0;0
674;627;0;0
675;290;0;0
676;530;0;0
677;319;0;0
678;537;0;0
679;823;0;0
680;584;0;0
681;439;0;0
682;240;0;0
683;677;0;0
684;524;0;0
685;450;0;0
686;340;0;0
687;270;0;0
688;493;0;0
689;560;0;0
690;414;0;0
691;343;0;0
692;297;0;0
693;550;0;0
694;421;0;0
695;501;0;0
696;355;0;0
697;762;0;0
698;463;0;0
699;356;0;0
700;390;0;0
701;274;0;0
702;537;0;0
703;821;0;0
704;783;0;0
705;485;0;0
706;435;0;0
707;409;0;0
708;481;0;0
709;324;0;0
710;647;0;0
711;537;0;0
712;541;0;0
713;541;0;0
714;605;0;0
715;498;0;0
716;373;0;0
717;654;0;0
718;616;0;0
719;354;0;0
720;520;0;0
721;582;0;0
722;482;0;0
723;315;0;0
724;294;0;0
725;416;0;0
726;670;0;0
727;466;0;0
728;274;0;0
729;514;0;0
730;415;0;0
731;257;0;0
732;445;0;0
733;494;0;0
734;420;0;0
735;362;0;0
736;305;0;0
737;545;0;0
738;869;0;0
739;596;0;0
740;486;0;0
741;251;0;0
742;298;0;0
743;761;0;0
744;469;0;0
745;313;0;0
746;323;0;0
747;428;0;0
748;394;0;0
749;828;0;0
750;316;0;0
751;515;0;0
752;385;0;0
753;663;0;0
754;572;0;0
755;576;0;0
756;571;0;0
757;594;0;0
758;349;0;0
759;254;0;0
760;528;0;0
761;317;0;0
762;302;0;0
763;275;0;0
764;553;0;0
765;539;0;0
766;489;0;0
767;318;0;0
768;469;0;0
769;587;0;0
770;349;0;0
771;662;0;0
772;755;0;0
773;273;0;0
774;644;0;0
775;669;0;0
776;278;0;0
777;483;0;0
778;537;0;0
779;965;0;0
780;874;0;0
781;388;0;0
782;496;0;0
783;256;0;0
784;522;0;0
785;499;0;0
786;468;0;0
787;577;0;0
788;360;0;0
789;523;0;0
790;547;0;0
791;487;0;0
792;602;0;0
793;489;0;0
794;236;0;0
795;681;0;0
796;440;0;0
797;538;0;0
798;774;0;0
799;474;0;0
800;611;0;0
801;523;0;0
802;1062;0;0
803;819;0;0
804;344;0;0
805;397;0;0
806;479;0;0
807;272;0;0
808;510;0;0
809;682;0;0
810;535;0;0
811;602;0;0
812;421;0;0
813;684;0;0
814;941;0;0
815;284;0;0
816;268;0;0
817;298;0;0
818;223;0;0
819;435;0;0
820;508;0;0
821;684;0;0
822;445;0;0
823;385;0;0
824;785;0;0
825;787;0;0
826;688;0;0
827;622;0;0
828;705;0;0
829;496;0;0
830;738;0;0
831;332;0;0
832;514;0;0
833;388;0;0
834;661;0;0
835;469;0;0
836;761;0;0
837;855;0;0
838;522;0;0
839;288;0;0
840;532;0;0
841;309;0;0
842;559;0;0
843;405;0;0
844;654;0;0
845;374;0;0
846;463;0;0
847;692;0;0
848;300;0;0
849;640;0;0
850;659;0;0
851;509;0;0
852;720;0;0
853;305;0;0
854;810;0;0
855;720;0;0
856;460;0;0
857;243;0;0
858;372;0;0
859;607;0;0
860;367;0;0
861;527;0;0
862;368;0;0
863;609;0;0
864;586;0;0
865;778;0;0
866;575;0;0
867;628;0;0
868;478;0;0
869;624;0;0
870;643;0;0
871;537;0;0
872;369;0;0
873;455;0;0
874;410;0;0
875;490;0;0
876;602;0;0
877;558;0;0
878;275;0;0
879;462;0;0
880;501;0;0
881;499;0;0
882;523;0;0
883;319;0;0
884;596;0;0
885;356;0;0
886;636;0;0
887;295;0;0
888;421;0;0
889;426;0;0
890;476;0;0
891;479;0;0
892;300;0;0
893;639;0;0
894;445;0;0
895;473;0;0
896;573;0;0
897;575;0;0
898;568;0;0
899;370;0;0
900;487;0;0
901;605;0;0
902;605;0;0
903;406;0;0
904;568;0;0
905;721;0;0
906;593;0;0
907;370;0;0
908;623;0;0
909;351;0;0
910;526;0;0
911;552;0;0
912;706;0;0
913;357;0;0
914;452;0;0
915;692;0;0
916;357;0;0
917;447;0;0
918;406;0;0
919;588;0;0
920;682;0;0
921;250;0;0
922;563;0;0
923;588;0;0
924;639;0;0
925;275;0;0
926;301;0;0
927;466;0;0
928;702;0;0
929;677;0;0
930;468;0;0
931;303;0;0
932;601;0;0
933;520;0;0
934;471;0;0
935;494;0;0
936;697;0;0
937;804;0;0
938;408;0;0
939;447;0;0
940;300;0;0
941;660;0;0
942;429;0;0
943;607;0;0
944;629;0;0
945;482;0;0
946;638;0;0
947;296;0;0
948;433;0;0
949;1503;0;0
950;567;0;0
951;533;0;0
952;667;0;0
953;437;0;0
954;366;0;0
955;779;0;0
956;468;0;0
957;300;0;0
958;311;0;0
959;256;0;0
960;617;0;0
961;548;0;0
962;424;0;0
963;549;0;0
964;435;0;0
965;462;0;0
966;699;0;0
967;489;0;0
968;548;0;0
969;852;0;0
970;686;0;0
971;587;0;0
972;384;0;0
973;528;0;0
974;484;0;0
975;674;0;0
976;780;0;0
977;610;0;0
978;291;0;0
979;374;0;0
980;250;0;0
981;633;0;0
982;519;0;0
983;411;0;0
984;593;0;0
985;598;0;0
986;440;0;0
987;315;0;0
988;452;0;0
989;980;0;0
990;568;0;0
991;340;0;0
992;496;0;0
993;680;0;0
994;432;0;0
995;814;0;0
996;600;0;0
997;633;0;0
998;644;0;0
999;577;0;0
1000;510;0;0
1001;645;0;0
1002;454;0;0
1003;756;0;0
1004;296;0;0
1005;648;0;0
1006;573;0;0
1007;327;0;0
1008;428;0;0
1009;296;0;0
1010;555;0;0
1011;453;0;0
1012;579;0;0
1013;436;0;0
1014;482;0;0
1015;435;0;0
1016;336;0;0
1017;499;0;0
1018;829;0;0
1019;470;0;0
1020;614;0;0
1021;357;0;0
1022;500;0;0
1023;636;0;0
1024;475;0;0
1025;389;0;0
1026;450;0;0
1027;495;0;0
1028;550;0;0
1029;542;0;0
1030;774;0;0
1031;390;0;0
1032;491;0;0
1033;300;0;0
1034;547;0;0
1035;647;0;0
1036;266;0;0
1037;528;0;0
1038;492;0;0
1039;265;0;0
1040;352;0;0
1041;308;0;0
1042;476;0;0
